total_loss,policy_loss,value_loss,l2_loss
3.613,2.752,0.843,0.018
3.423,2.668,0.733,0.022
3.386,2.656,0.702,0.028
3.374,2.64,0.697,0.037
3.334,2.611,0.678,0.046
3.278,2.533,0.695,0.051
3.223,2.506,0.663,0.054
3.118,2.433,0.627,0.058
3.027,2.368,0.6,0.06
2.907,2.285,0.56,0.062
2.789,2.18,0.546,0.063
2.665,2.086,0.515,0.064
2.584,2.007,0.511,0.065
2.485,1.947,0.471,0.066
2.411,1.904,0.44,0.067
2.339,1.867,0.404,0.067
2.266,1.817,0.383,0.066
2.167,1.767,0.334,0.066
2.12,1.742,0.313,0.065
2.087,1.713,0.31,0.063
2.056,1.691,0.302,0.062
1.993,1.67,0.262,0.061
2.009,1.67,0.279,0.06
1.996,1.649,0.286,0.061
1.969,1.639,0.268,0.061
2.009,1.643,0.304,0.062
2.059,1.651,0.346,0.063
2.091,1.651,0.376,0.065
2.156,1.663,0.427,0.066
2.318,1.753,0.496,0.069
2.421,1.825,0.524,0.072
2.47,1.883,0.514,0.074
2.498,1.917,0.506,0.075
2.468,1.921,0.472,0.075
2.295,1.824,0.397,0.074
2.131,1.721,0.337,0.072
2.017,1.654,0.293,0.07
1.919,1.608,0.243,0.068
1.804,1.551,0.189,0.064
1.775,1.54,0.173,0.062
1.752,1.543,0.149,0.059
1.745,1.551,0.138,0.056
1.743,1.55,0.139,0.054
1.749,1.545,0.15,0.053
1.771,1.569,0.15,0.052
1.78,1.576,0.152,0.052
1.761,1.566,0.145,0.051
1.783,1.581,0.153,0.05
1.763,1.581,0.133,0.049
1.815,1.579,0.186,0.049
1.834,1.573,0.209,0.051
1.814,1.551,0.211,0.052
1.758,1.51,0.196,0.053
1.742,1.493,0.196,0.053
1.713,1.496,0.165,0.052
1.668,1.486,0.131,0.05
1.666,1.493,0.124,0.049
1.685,1.505,0.13,0.049
1.707,1.518,0.141,0.048
1.698,1.519,0.131,0.047
1.697,1.517,0.133,0.047
1.689,1.518,0.124,0.047
1.704,1.528,0.129,0.047
1.709,1.536,0.127,0.047
1.725,1.54,0.138,0.047
1.741,1.548,0.146,0.046
1.781,1.568,0.167,0.046
1.768,1.556,0.165,0.046
1.762,1.55,0.164,0.047
1.754,1.538,0.168,0.047
1.727,1.531,0.148,0.048
1.705,1.521,0.136,0.047
1.67,1.506,0.117,0.046
1.658,1.514,0.097,0.046
1.642,1.514,0.083,0.045
1.639,1.517,0.077,0.044
1.648,1.534,0.07,0.044
1.672,1.536,0.093,0.043
1.709,1.562,0.103,0.044
1.704,1.56,0.102,0.043
1.72,1.57,0.108,0.042
1.738,1.574,0.121,0.042
1.714,1.575,0.097,0.042
1.691,1.567,0.083,0.041
1.692,1.571,0.08,0.041
1.714,1.571,0.101,0.042
1.706,1.56,0.104,0.042
1.712,1.561,0.108,0.043
1.696,1.544,0.108,0.044
1.681,1.523,0.115,0.043
1.669,1.532,0.094,0.043
1.662,1.524,0.096,0.042
1.654,1.528,0.085,0.041
1.654,1.522,0.091,0.041
1.665,1.525,0.1,0.04
1.662,1.539,0.083,0.039
1.67,1.554,0.076,0.039
1.676,1.561,0.076,0.039
1.67,1.565,0.066,0.039
1.66,1.564,0.058,0.038
1.683,1.574,0.07,0.038
1.673,1.565,0.07,0.038
1.681,1.577,0.067,0.037
1.698,1.582,0.079,0.037
1.701,1.58,0.085,0.037
1.711,1.585,0.088,0.037
1.891,1.758,0.095,0.039
1.738,1.593,0.106,0.039
1.705,1.582,0.084,0.039
1.706,1.584,0.084,0.038
1.711,1.577,0.097,0.038
1.714,1.59,0.087,0.037
1.721,1.579,0.106,0.036
1.756,1.601,0.117,0.037
1.759,1.594,0.127,0.038
1.78,1.602,0.14,0.038
1.808,1.598,0.172,0.038
1.786,1.585,0.162,0.039
1.818,1.587,0.191,0.04
1.804,1.569,0.194,0.041
1.74,1.523,0.177,0.04
1.721,1.528,0.153,0.04
1.683,1.502,0.14,0.041
1.631,1.478,0.112,0.04
1.597,1.472,0.086,0.039
1.585,1.474,0.072,0.038
1.581,1.474,0.069,0.037
1.593,1.492,0.064,0.037
1.596,1.498,0.062,0.036
1.611,1.515,0.061,0.035
1.618,1.523,0.06,0.035
1.604,1.516,0.053,0.035
1.643,1.543,0.066,0.034
1.65,1.54,0.076,0.035
1.746,1.626,0.085,0.035
1.681,1.552,0.093,0.036
1.697,1.556,0.106,0.035
1.721,1.576,0.111,0.035
1.723,1.58,0.108,0.035
1.712,1.579,0.099,0.035
1.717,1.582,0.1,0.035
1.733,1.59,0.108,0.035
1.716,1.581,0.1,0.035
1.705,1.576,0.094,0.035
2.017,1.81,0.17,0.037
1.912,1.727,0.148,0.038
1.908,1.728,0.141,0.038
1.928,1.734,0.156,0.038
1.942,1.742,0.161,0.038
1.778,1.618,0.122,0.038
1.813,1.622,0.154,0.037
1.902,1.642,0.222,0.037
1.898,1.628,0.232,0.038
1.931,1.63,0.262,0.039
1.881,1.586,0.256,0.04
1.873,1.586,0.247,0.04
1.777,1.561,0.175,0.041
1.75,1.554,0.155,0.041
1.72,1.548,0.132,0.04
1.738,1.558,0.141,0.04
1.723,1.549,0.134,0.039
1.741,1.557,0.144,0.039
1.716,1.544,0.133,0.039
1.681,1.524,0.118,0.039
1.679,1.523,0.117,0.039
1.661,1.512,0.111,0.038
1.644,1.512,0.094,0.038
1.645,1.505,0.103,0.037
1.635,1.509,0.089,0.037
1.612,1.502,0.074,0.037
1.608,1.511,0.061,0.036
1.605,1.51,0.06,0.035
1.604,1.512,0.057,0.035
1.624,1.525,0.065,0.035
1.629,1.531,0.064,0.034
1.637,1.538,0.065,0.034
1.645,1.541,0.07,0.034
1.65,1.549,0.067,0.034
1.669,1.558,0.078,0.033
1.659,1.553,0.074,0.033
1.675,1.567,0.075,0.033
1.677,1.573,0.072,0.032
1.682,1.571,0.079,0.032
1.674,1.565,0.077,0.032
1.664,1.558,0.074,0.032
1.664,1.551,0.081,0.032
1.679,1.555,0.092,0.032
1.667,1.552,0.082,0.033
1.679,1.552,0.095,0.033
1.725,1.583,0.109,0.033
