total_loss,policy_loss,value_loss,l2_loss
5.192,4.146,1.028,0.019
4.371,4.04,0.296,0.035
4.294,4.014,0.232,0.049
4.263,3.943,0.257,0.064
4.281,3.946,0.262,0.073
4.301,3.925,0.294,0.081
4.307,3.922,0.299,0.086
4.305,3.927,0.288,0.09
4.336,3.934,0.308,0.094
4.288,3.9,0.291,0.097
4.295,3.892,0.303,0.1
4.278,3.901,0.274,0.104
4.282,3.897,0.279,0.106
4.285,3.9,0.279,0.106
4.3,3.895,0.301,0.104
4.32,3.912,0.302,0.107
4.31,3.919,0.284,0.107
4.307,3.923,0.278,0.107
4.325,3.915,0.303,0.107
4.336,3.913,0.318,0.105
4.333,3.908,0.319,0.105
4.295,3.889,0.301,0.106
4.301,3.889,0.306,0.106
4.269,3.88,0.284,0.106
4.262,3.855,0.301,0.106
4.242,3.842,0.296,0.104
4.244,3.836,0.305,0.103
4.262,3.865,0.293,0.104
4.279,3.868,0.307,0.103
4.277,3.88,0.294,0.103
4.262,3.882,0.277,0.103
4.287,3.896,0.288,0.103
4.301,3.901,0.296,0.104
4.323,3.919,0.299,0.104
4.336,3.942,0.291,0.103
4.329,3.924,0.304,0.101
4.364,3.933,0.33,0.1
4.335,3.914,0.32,0.101
4.366,3.931,0.334,0.101
4.345,3.92,0.322,0.103
4.319,3.905,0.308,0.106
4.297,3.9,0.29,0.106
4.298,3.907,0.285,0.106
4.29,3.901,0.284,0.106
4.302,3.897,0.298,0.107
