total_loss,policy_loss,value_loss,l2_loss
4.197,3.63,0.549,0.018
4.05,3.58,0.441,0.029
3.975,3.527,0.402,0.045
3.928,3.403,0.466,0.059
3.947,3.331,0.549,0.067
3.95,3.305,0.571,0.074
3.991,3.349,0.561,0.081
3.989,3.376,0.525,0.087
4.012,3.406,0.512,0.094
4.03,3.416,0.516,0.099
4.05,3.453,0.494,0.103
4.077,3.476,0.495,0.106
4.036,3.458,0.471,0.108
4.015,3.419,0.489,0.107
3.983,3.36,0.516,0.107
3.951,3.303,0.541,0.107
3.948,3.329,0.509,0.11
3.965,3.345,0.508,0.112
3.979,3.388,0.478,0.114
3.977,3.377,0.487,0.113
3.974,3.369,0.491,0.113
3.953,3.352,0.488,0.113
3.943,3.361,0.47,0.113
3.938,3.347,0.477,0.113
3.893,3.31,0.469,0.114
3.913,3.302,0.497,0.114
3.894,3.258,0.523,0.113
3.912,3.281,0.517,0.114
3.917,3.297,0.505,0.115
3.973,3.37,0.487,0.116
4.014,3.397,0.5,0.117
4.007,3.405,0.483,0.119
3.99,3.384,0.486,0.12
3.969,3.338,0.511,0.121
3.962,3.325,0.518,0.12
3.969,3.347,0.504,0.118
3.992,3.381,0.495,0.117
4.011,3.375,0.521,0.115
3.992,3.386,0.49,0.116
3.956,3.364,0.477,0.115
3.944,3.355,0.477,0.112
3.889,3.285,0.494,0.11
3.893,3.252,0.532,0.108
3.831,3.196,0.527,0.107
3.826,3.187,0.532,0.107
3.831,3.184,0.54,0.107
3.888,3.251,0.53,0.107
3.923,3.302,0.513,0.108
3.955,3.347,0.499,0.109
3.947,3.378,0.459,0.11
3.971,3.375,0.486,0.11
3.982,3.369,0.504,0.109
3.964,3.347,0.508,0.109
3.975,3.372,0.493,0.11
3.938,3.372,0.457,0.11
3.94,3.356,0.474,0.11
3.923,3.338,0.475,0.11
3.928,3.316,0.503,0.109
