elapsed_s,episode,avg_episode_reward
600,3837,1.0
1200,7806,1.0
1800,11607,1.0
2400,15455,1.0
3000,19132,1.0
3600,22845,1.0
4200,26528,1.0
4800,30218,1.0
5400,33829,1.0
6000,37442,1.0
6600,41083,1.0
7200,44798,1.0
7800,48480,1.0
8400,52116,1.0
9000,55653,1.0
9600,59262,1.0
10200,62725,1.0
10800,66247,1.0
11400,69578,1.0
12000,72976,1.0
12600,76608,1.0
13200,80103,1.0
13800,83650,1.0
14400,87258,1.0
