elapsed_s,episode,eta,epsilon
600,6307,0.09791632454759545,0.9208203328086271
1200,12061,0.09583316546926897,0.8416602878322204
1800,17456,0.0937497294884589,0.7624897205614382
2400,23084,0.09166625774072276,0.683317794147465
3000,28830,0.08958319644629956,0.6041614649593829
3600,34875,0.08749982715977564,0.524993432071474
4200,40575,0.08541649454169803,0.4458267925845253
4800,46087,0.08333329175743792,0.366665086782641
5400,51602,0.0812496162470844,0.2874854173892074
6000,56895,0.07916664481494162,0.2083325029677815
6600,62042,0.0770832673319512,0.12916415861414543
7200,67119,0.0749997995570302,0.05
7800,72263,0.0729164968704184,0.05
8400,77325,0.07083291524234746,0.05
9000,82263,0.06874957198897998,0.05
9600,87143,0.06666644313517545,0.05
10200,91926,0.06458308936903875,0.05
10800,96698,0.06249987007594771,0.05
11400,101454,0.06041650372081333,0.05
12000,106173,0.0583330595302913,0.05
12600,110867,0.056249869060185226,0.05
13200,115526,0.054166574607292815,0.05
13800,120130,0.052083161863187954,0.05
14400,124794,0.05,0.05
