elapsed_s,episode,eta,epsilon
600,43985,0.09791664666351345,0.9208325732135111
1200,89443,0.09583330035706361,0.8416654135684172
1800,133530,0.0937499508170618,0.7624981310483482
2400,177571,0.09166666436940432,0.683333246037364
3000,221317,0.08958330953452323,0.6041657623118825
3600,265478,0.08749997514983018,0.524999055693547
4200,308705,0.08541659139676228,0.4458304730769661
4800,352319,0.08333330535143614,0.3666656033545732
5400,395801,0.08124994384662973,0.28749786617192963
6000,438870,0.07916658533778456,0.20833024283581314
6600,481816,0.07708329994314247,0.12916539783941372
7200,524786,0.0749999807369378,0.05
7800,569553,0.0729166513391667,0.05
8400,613400,0.0708332955704795,0.05
9000,658471,0.06874990578326914,0.05
9600,704580,0.06666664235211081,0.05
10200,750435,0.06458331528388792,0.05
10800,796633,0.06249997674177091,0.05
11400,842955,0.06041665668785572,0.05
12000,888238,0.05833329939428303,0.05
12600,933828,0.05624996677206623,0.05
13200,979169,0.054166653309431344,0.05
13800,1024550,0.05208327850699425,0.05
14400,1069519,0.05,0.05
