elapsed_s,episode,eta,epsilon
600,38726,0.09791661943578059,0.9208315385596619
1200,76893,0.09583327860136827,0.8416645868519942
1800,114726,0.09374998742259212,0.7624995220585002
2400,152614,0.09166666533632412,0.6833332827803161
3000,190028,0.08958332708064054,0.60416642906434
3600,226907,0.08749995308948888,0.5249982174005774
4200,263982,0.08541663583368063,0.44583216167986395
4800,300546,0.08333330663955874,0.3666656523032321
5400,337307,0.08124999660087956,0.28749987083342343
6000,373995,0.07916666368477875,0.20833322002159227
6600,410795,0.07708326073487601,0.12916390792528787
7200,447378,0.07499994951486588,0.05
7800,483987,0.07291660821851757,0.05
8400,520594,0.07083329004132086,0.05
9000,557517,0.06874999746017986,0.05
9600,593825,0.066666648408605,0.05
10200,630280,0.06458330021053553,0.05
10800,666683,0.06249994617617793,0.05
11400,702515,0.0604166345604592,0.05
12000,738854,0.05833328811162048,0.05
12600,774683,0.05624996459898021,0.05
13200,810655,0.05416661119047139,0.05
13800,846164,0.052083318495088154,0.05
14400,881368,0.05,0.05
