elapsed_s,episode,avg_episode_reward
600,1563,1.0
1200,3237,1.0
1800,4874,1.0
2400,6519,1.0
3000,8164,1.0
3600,9795,1.0
4200,11461,1.0
4800,13183,1.0
5400,14900,1.0
6000,16562,1.0
6600,18187,1.0
7200,19821,1.0
7800,21484,1.0
8400,23153,1.0
9000,24811,1.0
9600,26463,1.0
10200,28118,1.0
10800,29653,1.0
11400,31293,1.0
12000,32934,1.0
12600,34596,1.0
13200,36221,1.0
13800,37906,1.0
14400,39591,1.0
