elapsed_s,episode,epsilon_A0,epsilon_A1,train_steps_A0,train_steps_A1,buffer_len_A0,buffer_len_A1,avg_td_loss
20,27,0.6809272789955139,0.6809272789955139,706,692,769,755,0.00449653279368292
40,51,0.3566855909427008,0.3566855909427008,1396,1368,1459,1431,0.007481227892014303
60,76,0.050000000000000044,0.050000000000000044,2083,2040,2146,2103,0.005721903468461937
