elapsed_s,episode,eta,epsilon
600,13053,0.09791658232609432,0.9208301283915837
1200,25785,0.09583330423964395,0.8416655611064698
1800,38462,0.09374991384810873,0.7624967262281312
2400,51184,0.09166656339830823,0.6833294091357125
3000,63874,0.0895832869940334,0.6041649057732688
3600,76347,0.08749993785056803,0.5249976383215851
4200,88969,0.08541664908826352,0.44583266535401345
4800,101607,0.08333322881079383,0.36666269481016533
5400,114192,0.08124992902080219,0.2874973027904829
6000,126523,0.07916655853721831,0.2083292244142957
6600,138504,0.07708322148852878,0.12916241656409366
7200,150502,0.07499984710166852,0.05
7800,162476,0.07291662615040939,0.05
8400,174454,0.07083328687565195,0.05
9000,186307,0.06874987043523126,0.05
9600,198155,0.0666666112591823,0.05
10200,210022,0.06458322409457631,0.05
10800,222805,0.062499830404917404,0.05
11400,234994,0.060416628585921395,0.05
12000,246706,0.05833329362339444,0.05
12600,259448,0.05624997082021502,0.05
13200,271979,0.05416665259748698,0.05
13800,284845,0.052083159579171076,0.05
14400,298560,0.05,0.05
